flight_id,dep_airport_iata,arrival_airport_iata,airline_iata,departure_time,departure_timezone,arrival_time,arrival_timezone
WN5176,ATL,DEN,WN,11:00:00,America/New_York,12:35:00,America/Denver
DL2269,ATL,DFW,DL,10:57:00,America/New_York,12:25:00,America/Chicago
WS6649,ATL,DFW,WS,10:57:00,America/New_York,12:25:00,America/Chicago
AR7008,ATL,DFW,AR,10:57:00,America/New_York,12:25:00,America/Chicago
NK404,ATL,LAX,NK,10:50:00,America/New_York,13:00:00,America/Los_Angeles
DL856,ATL,SFO,DL,10:49:00,America/New_York,13:23:00,America/Los_Angeles
G38134,ATL,SFO,G3,10:49:00,America/New_York,13:23:00,America/Los_Angeles
AR7024,ATL,SFO,AR,10:49:00,America/New_York,13:23:00,America/Los_Angeles
UA241,ATL,ORD,UA,10:45:00,America/New_York,12:02:00,America/Chicago
SK9749,ATL,ORD,SK,10:45:00,America/New_York,12:02:00,America/Chicago
NZ2020,ATL,ORD,NZ,10:45:00,America/New_York,12:02:00,America/Chicago
DL414,ATL,MCO,DL,10:39:00,America/New_York,12:15:00,America/New_York
WS7374,ATL,MCO,WS,10:39:00,America/New_York,12:15:00,America/New_York
G38198,ATL,MCO,G3,10:39:00,America/New_York,12:15:00,America/New_York
AM3965,ATL,MCO,AM,10:39:00,America/New_York,12:15:00,America/New_York
DL843,ATL,JFK,DL,10:32:00,America/New_York,12:43:00,America/New_York
WS6638,ATL,JFK,WS,10:32:00,America/New_York,12:43:00,America/New_York
VS4868,ATL,JFK,VS,10:32:00,America/New_York,12:43:00,America/New_York
MU4168,ATL,JFK,MU,10:32:00,America/New_York,12:43:00,America/New_York
KL5989,ATL,JFK,KL,10:32:00,America/New_York,12:43:00,America/New_York
AZ3106,ATL,JFK,AZ,10:32:00,America/New_York,12:43:00,America/New_York
AA262,PEK,DFW,AA,17:25:00,Asia/Shanghai,16:50:00,America/Chicago
AA180,PEK,LAX,AA,18:30:00,Asia/Shanghai,14:50:00,America/Los_Angeles
CA983,PEK,LAX,CA,18:30:00,Asia/Shanghai,14:30:00,America/Los_Angeles
UA7616,PEK,LAX,UA,18:30:00,Asia/Shanghai,14:30:00,America/Los_Angeles
HU7709,PEK,SZX,HU,12:30:00,Asia/Shanghai,15:45:00,Asia/Shanghai
CA4114,PEK,CTU,CA,12:30:00,Asia/Shanghai,16:05:00,Asia/Shanghai
ZH4114,PEK,CTU,ZH,12:30:00,Asia/Shanghai,16:05:00,Asia/Shanghai
MU5281,PEK,CAN,MU,12:10:00,Asia/Shanghai,15:30:00,Asia/Shanghai
CZ9002,PEK,CAN,CZ,12:10:00,Asia/Shanghai,15:30:00,Asia/Shanghai
HX337,PEK,HKG,HX,12:05:00,Asia/Shanghai,15:55:00,Asia/Hong_Kong
HU8189,PEK,HKG,HU,12:05:00,Asia/Shanghai,15:55:00,Asia/Hong_Kong
KA901,PEK,HKG,KA,12:00:00,Asia/Shanghai,15:55:00,Asia/Hong_Kong
CX5901,PEK,HKG,CX,12:00:00,Asia/Shanghai,15:55:00,Asia/Hong_Kong
CA6509,PEK,HKG,CA,12:00:00,Asia/Shanghai,15:55:00,Asia/Hong_Kong
3U8882,PEK,CTU,3U,11:35:00,Asia/Shanghai,14:55:00,Asia/Shanghai
HU7805,PEK,CAN,HU,8:05:00,Asia/Shanghai,11:25:00,Asia/Shanghai
EK307,PEK,DXB,EK,23:40:00,Asia/Shanghai,4:30:00,Asia/Dubai
CA941,PEK,DXB,CA,17:40:00,Asia/Shanghai,23:15:00,Asia/Dubai
HU7975,PEK,YYZ,HU,14:20:00,Asia/Shanghai,14:10:00,America/Toronto
CA1315,PEK,CAN,CA,11:00:00,Asia/Shanghai,14:30:00,Asia/Shanghai
ZH1315,PEK,CAN,ZH,11:00:00,Asia/Shanghai,14:30:00,Asia/Shanghai
CZ6183,PEK,CTU,CZ,10:45:00,Asia/Shanghai,14:20:00,Asia/Shanghai
KL4375,PEK,CTU,KL,10:45:00,Asia/Shanghai,14:20:00,Asia/Shanghai
3U8548,PEK,CTU,3U,10:10:00,Asia/Shanghai,13:30:00,Asia/Shanghai
