,flight_id,dep_airport_iata,arrival_airport_iata,airline_iata,departure_time,arrival_time
0,WN5176,ATL,DEN,WN,11:00:00,12:35:00
1,DL2269,ATL,DFW,DL,10:57:00,12:25:00
2,WS6649,ATL,DFW,WS,10:57:00,12:25:00
3,AR7008,ATL,DFW,AR,10:57:00,12:25:00
4,NK404,ATL,LAX,NK,10:50:00,13:00:00
5,DL856,ATL,SFO,DL,10:49:00,13:23:00
6,G38134,ATL,SFO,G3,10:49:00,13:23:00
7,AR7024,ATL,SFO,AR,10:49:00,13:23:00
8,UA241,ATL,ORD,UA,10:45:00,12:02:00
9,SK9749,ATL,ORD,SK,10:45:00,12:02:00
10,NZ2020,ATL,ORD,NZ,10:45:00,12:02:00
11,DL414,ATL,MCO,DL,10:39:00,12:15:00
12,WS7374,ATL,MCO,WS,10:39:00,12:15:00
13,G38198,ATL,MCO,G3,10:39:00,12:15:00
14,AM3965,ATL,MCO,AM,10:39:00,12:15:00
15,DL843,ATL,JFK,DL,10:32:00,12:43:00
16,WS6638,ATL,JFK,WS,10:32:00,12:43:00
17,VS4868,ATL,JFK,VS,10:32:00,12:43:00
18,MU4168,ATL,JFK,MU,10:32:00,12:43:00
19,KL5989,ATL,JFK,KL,10:32:00,12:43:00
20,AZ3106,ATL,JFK,AZ,10:32:00,12:43:00
21,AA262,PEK,DFW,AA,17:25:00,16:50:00
22,AA180,PEK,LAX,AA,18:30:00,14:50:00
23,CA983,PEK,LAX,CA,18:30:00,14:30:00
24,UA7616,PEK,LAX,UA,18:30:00,14:30:00
25,HU7709,PEK,SZX,HU,12:30:00,15:45:00
26,CA4114,PEK,CTU,CA,12:30:00,16:05:00
27,ZH4114,PEK,CTU,ZH,12:30:00,16:05:00
28,MU5281,PEK,CAN,MU,12:10:00,15:30:00
29,CZ9002,PEK,CAN,CZ,12:10:00,15:30:00
30,HX337,PEK,HKG,HX,12:05:00,15:55:00
31,HU8189,PEK,HKG,HU,12:05:00,15:55:00
32,KA901,PEK,HKG,KA,12:00:00,15:55:00
33,CX5901,PEK,HKG,CX,12:00:00,15:55:00
34,CA6509,PEK,HKG,CA,12:00:00,15:55:00
35,3U8882,PEK,CTU,3U,11:35:00,14:55:00
36,HU7805,PEK,CAN,HU,8:05:00,11:25:00
37,EK307,PEK,DXB,EK,23:40:00,4:30:00
38,CA941,PEK,DXB,CA,17:40:00,23:15:00
39,HU7975,PEK,YYZ,HU,14:20:00,14:10:00
40,CA1315,PEK,CAN,CA,11:00:00,14:30:00
41,ZH1315,PEK,CAN,ZH,11:00:00,14:30:00
42,CZ6183,PEK,CTU,CZ,10:45:00,14:20:00
43,KL4375,PEK,CTU,KL,10:45:00,14:20:00
44,3U8548,PEK,CTU,3U,10:10:00,13:30:00
